Tree_Name	assembly	pep	cds	gff	gtf
Spathaspora_jeffriesii	yHMPu5000041701_Candida_jeffriesii_SPADES.haplomerger2.fas	yHMPu5000041701_Candida_jeffriesii_SPADES.haplomerger2.final.pep	yHMPu5000041701_Candida_jeffriesii_SPADES.haplomerger2.final.cds	yHMPu5000041701_Candida_jeffriesii_SPADES.haplomerger2.final.gff3	yHMPu5000041701_Candida_jeffriesii_SPADES.haplomerger2.final.gtf
Schwanniomyces_polymorphus_var._polymorphus	yHMPu5000041780_Schwanniomyces_polymorphus_var_polymorphus_SPADES.fas	yHMPu5000041780_Schwanniomyces_polymorphus_var_polymorphus_SPADES.final.pep	yHMPu5000041780_Schwanniomyces_polymorphus_var_polymorphus_SPADES.final.cds	yHMPu5000041780_Schwanniomyces_polymorphus_var_polymorphus_SPADES.final.gff3	yHMPu5000041780_Schwanniomyces_polymorphus_var_polymorphus_SPADES.final.gtf
Metschnikowia_ziziphicola	yHMPu5000041803_Metschnikowia_zizyphicola_SPADES.haplomerger2.fas	yHMPu5000041803_Metschnikowia_zizyphicola_SPADES.haplomerger2.final.pep	yHMPu5000041803_Metschnikowia_zizyphicola_SPADES.haplomerger2.final.cds	yHMPu5000041803_Metschnikowia_zizyphicola_SPADES.haplomerger2.final.gff3	yHMPu5000041803_Metschnikowia_zizyphicola_SPADES.haplomerger2.final.gtf
Kodamaea_sp._yHQL451	yHQL451_Kodamaea_sp_nov_plate33_SPADES.fas	yHQL451_Kodamaea_sp_nov_plate33_SPADES.final.pep	yHQL451_Kodamaea_sp_nov_plate33_SPADES.final.cds	yHQL451_Kodamaea_sp_nov_plate33_SPADES.final.gff3	yHQL451_Kodamaea_sp_nov_plate33_SPADES.final.gtf
Wickerhamomyces_kurtzmanii	yHMPu5000037207_Wickerhamomyces_kurtzmanii_SPADES.fas	yHMPu5000037207_Wickerhamomyces_kurtzmanii_SPADES.final.pep	yHMPu5000037207_Wickerhamomyces_kurtzmanii_SPADES.final.cds	yHMPu5000037207_Wickerhamomyces_kurtzmanii_SPADES.final.gff3	yHMPu5000037207_Wickerhamomyces_kurtzmanii_SPADES.final.gtf
Nadsonia_fulvescens_var._elongata	nadsonia_fulvescens.fas	nadsonia_fulvescens.final.pep	nadsonia_fulvescens.final.cds	nadsonia_fulvescens.final.gff3	nadsonia_fulvescens.final.gtf
Nadsonia_fulvescens_var._fulvescens	yHMPu5000034635_nadsonia_fulvescens_160519.fas	yHMPu5000034635_nadsonia_fulvescens_160519.final.pep	yHMPu5000034635_nadsonia_fulvescens_160519.final.cds	yHMPu5000034635_nadsonia_fulvescens_160519.final.gff3	yHMPu5000034635_nadsonia_fulvescens_160519.final.gtf
Nadsonia_starkeyi-henricii	yHMPu5000035308_nadsonia_starkeyi-henricii_180604.fas	yHMPu5000035308_nadsonia_starkeyi-henricii_180604.final.pep	yHMPu5000035308_nadsonia_starkeyi-henricii_180604.final.cds	yHMPu5000035308_nadsonia_starkeyi-henricii_180604.final.gff3	yHMPu5000035308_nadsonia_starkeyi-henricii_180604.final.gtf
Nakaseomyces_bacillisporus	yHMPu5000035666_nakaseomyces_bacillisporus_160613.fas	yHMPu5000035666_nakaseomyces_bacillisporus_160613.final.pep	yHMPu5000035666_nakaseomyces_bacillisporus_160613.final.cds	yHMPu5000035666_nakaseomyces_bacillisporus_160613.final.gff3	yHMPu5000035666_nakaseomyces_bacillisporus_160613.final.gtf
Nakaseomyces_delphensis	yHMPu5000026127_nakaseomyces_delphensis_160519.fas	yHMPu5000026127_nakaseomyces_delphensis_160519.final.pep	yHMPu5000026127_nakaseomyces_delphensis_160519.final.cds	yHMPu5000026127_nakaseomyces_delphensis_160519.final.gff3	yHMPu5000026127_nakaseomyces_delphensis_160519.final.gtf
Nakaseomyces_sp._yHDO568	yHDO568_nakaseomyces_sp_190924.fas	yHDO568_nakaseomyces_sp_190924.final.pep	yHDO568_nakaseomyces_sp_190924.final.cds	yHDO568_nakaseomyces_sp_190924.final.gff3	yHDO568_nakaseomyces_sp_190924.final.gtf
Nakazawaea_anatomiae	yHMPu5000037862_nakazawaea_anatomiae_170912.fas	yHMPu5000037862_nakazawaea_anatomiae_170912.final.pep	yHMPu5000037862_nakazawaea_anatomiae_170912.final.cds	yHMPu5000037862_nakazawaea_anatomiae_170912.final.gff3	yHMPu5000037862_nakazawaea_anatomiae_170912.final.gtf
Nakazawaea_ernobii	yHMPu5000034930_nakazawaea_ernobii_170307.haplomerger2.fas	yHMPu5000034930_nakazawaea_ernobii_170307.haplomerger2.final.pep	yHMPu5000034930_nakazawaea_ernobii_170307.haplomerger2.final.cds	yHMPu5000034930_nakazawaea_ernobii_170307.haplomerger2.final.gff3	yHMPu5000034930_nakazawaea_ernobii_170307.haplomerger2.final.gtf
Nakazawaea_holstii	yHMPu5000034918_nakazawaea_holstii_160519.fas	yHMPu5000034918_nakazawaea_holstii_160519.final.pep	yHMPu5000034918_nakazawaea_holstii_160519.final.cds	yHMPu5000034918_nakazawaea_holstii_160519.final.gff3	yHMPu5000034918_nakazawaea_holstii_160519.final.gtf
Nakazawaea_ishiwadae	yHMPu5000034919_nakazawaea_ishiwadae_160519.fas	yHMPu5000034919_nakazawaea_ishiwadae_160519.final.pep	yHMPu5000034919_nakazawaea_ishiwadae_160519.final.cds	yHMPu5000034919_nakazawaea_ishiwadae_160519.final.gff3	yHMPu5000034919_nakazawaea_ishiwadae_160519.final.gtf
Nakazawaea_laoshanensis	yHMPu5000034920_nakazawaea_laoshanensis_170713.fas	yHMPu5000034920_nakazawaea_laoshanensis_170713.final.pep	yHMPu5000034920_nakazawaea_laoshanensis_170713.final.cds	yHMPu5000034920_nakazawaea_laoshanensis_170713.final.gff3	yHMPu5000034920_nakazawaea_laoshanensis_170713.final.gtf
Nakazawaea_molendinolei	yHMPu5000038384_candida_molendinolei_170713.fas	yHMPu5000038384_candida_molendinolei_170713.final.pep	yHMPu5000038384_candida_molendinolei_170713.final.cds	yHMPu5000038384_candida_molendinolei_170713.final.gff3	yHMPu5000038384_candida_molendinolei_170713.final.gtf
Nakazawaea_peltata	yHMPu5000034921_nakazawaea_peltata_160519.fas	yHMPu5000034921_nakazawaea_peltata_160519.final.pep	yHMPu5000034921_nakazawaea_peltata_160519.final.cds	yHMPu5000034921_nakazawaea_peltata_160519.final.gff3	yHMPu5000034921_nakazawaea_peltata_160519.final.gtf
Nakazawaea_pomicola	yHMPu5000034922_nakazawaea_pomicola_160519.fas	yHMPu5000034922_nakazawaea_pomicola_160519.final.pep	yHMPu5000034922_nakazawaea_pomicola_160519.final.cds	yHMPu5000034922_nakazawaea_pomicola_160519.final.gff3	yHMPu5000034922_nakazawaea_pomicola_160519.final.gtf
Nakazawaea_populi	yHMPu5000035668_nakazawaea_populi_160613.fas	yHMPu5000035668_nakazawaea_populi_160613.final.pep	yHMPu5000035668_nakazawaea_populi_160613.final.cds	yHMPu5000035668_nakazawaea_populi_160613.final.gff3	yHMPu5000035668_nakazawaea_populi_160613.final.gtf
Nakazawaea_siamensis	yHMPu5000038058_nakazawaea_siamensis_170912.fas	yHMPu5000038058_nakazawaea_siamensis_170912.final.pep	yHMPu5000038058_nakazawaea_siamensis_170912.final.cds	yHMPu5000038058_nakazawaea_siamensis_170912.final.gff3	yHMPu5000038058_nakazawaea_siamensis_170912.final.gtf
Nakazawaea_sp._yHKS545	yHKS545_Nakazawaea_sp_nov_plate33_PLATANUS.fas	yHKS545_Nakazawaea_sp_nov_plate33_PLATANUS.final.pep	yHKS545_Nakazawaea_sp_nov_plate33_PLATANUS.final.cds	yHKS545_Nakazawaea_sp_nov_plate33_PLATANUS.final.gff3	yHKS545_Nakazawaea_sp_nov_plate33_PLATANUS.final.gtf
Nakazawaea_sp._yHDR128	yHDR128_Nakazawaea_sp_nov_plate34_PLATANUS.fas	yHDR128_Nakazawaea_sp_nov_plate34_PLATANUS.final.pep	yHDR128_Nakazawaea_sp_nov_plate34_PLATANUS.final.cds	yHDR128_Nakazawaea_sp_nov_plate34_PLATANUS.final.gff3	yHDR128_Nakazawaea_sp_nov_plate34_PLATANUS.final.gtf
Nakazawaea_wickerhamii	yHMPu5000034923_nakazawaea_wickerhamii_160519.fas	yHMPu5000034923_nakazawaea_wickerhamii_160519.final.pep	yHMPu5000034923_nakazawaea_wickerhamii_160519.final.cds	yHMPu5000034923_nakazawaea_wickerhamii_160519.final.gff3	yHMPu5000034923_nakazawaea_wickerhamii_160519.final.gtf
Nakazawaea_wyomingensis	yHMPu5000034924_nakazawaea_wyomingensis_160519.fas	yHMPu5000034924_nakazawaea_wyomingensis_160519.final.pep	yHMPu5000034924_nakazawaea_wyomingensis_160519.final.cds	yHMPu5000034924_nakazawaea_wyomingensis_160519.final.gff3	yHMPu5000034924_nakazawaea_wyomingensis_160519.final.gtf
Naumovozyma_baii	yHMPu5000034894_naumovozyma_baii_190924.fas	yHMPu5000034894_naumovozyma_baii_190924.final.pep	yHMPu5000034894_naumovozyma_baii_190924.final.cds	yHMPu5000034894_naumovozyma_baii_190924.final.gff3	yHMPu5000034894_naumovozyma_baii_190924.final.gtf
Naumovozyma_castellii	yHMPu5000034871_naumovozyma_castellii_180604.fas	yHMPu5000034871_naumovozyma_castellii_180604.final.pep	yHMPu5000034871_naumovozyma_castellii_180604.final.cds	yHMPu5000034871_naumovozyma_castellii_180604.final.gff3	yHMPu5000034871_naumovozyma_castellii_180604.final.gtf
Naumovozyma_dairenensis	yHMPu5000034872_naumovozyma_dairenensis_180604.fas	yHMPu5000034872_naumovozyma_dairenensis_180604.final.pep	yHMPu5000034872_naumovozyma_dairenensis_180604.final.cds	yHMPu5000034872_naumovozyma_dairenensis_180604.final.gff3	yHMPu5000034872_naumovozyma_dairenensis_180604.final.gtf
