assembly_fullID_updated	Tip_ID	assembly_fullID_updated_kegg	assembly_fullID_updated_OG	Tip_ID_v2	FINAL_Tip_ID	DanaKegg
yHMPu5000034925_candida_arabinofermentans_160519	Candida_arabinofermentans_CBS8468	yHMPu5000034925_candida_arabinofermentans_160519	yHMPu5000034925_candida_arabinofermentans_160519	Candida_arabinofermentans	Candida_arabinofermentans	yHMPu5000034925_candida_arabinofermentans_160519
yHMPu5000034926_candida_boidinii_160519	Candida_boidinii_CBS2428	yHMPu5000034926_candida_boidinii_160519	yHMPu5000034926_candida_boidinii_160519	Candida_boidinii	Candida_boidinii	yHMPu5000034926_candida_boidinii_160519
yHMPu5000034927_candida_maris_210210	Candida_maris_CBS5151	yHMPu5000034927_candida_maris_210210	yHMPu5000034927_candida_maris_210210	Candida_maris	Candida_maris	yHMPu5000034927_candida_maris_210210
yHMPu5000034929_candida_nanaspora_170307	Candida_nanaspora_CBS7200	yHMPu5000034929_candida_nanaspora_170307	yHMPu5000034929_candida_nanaspora_170307	Candida_nanaspora	Candida_nanaspora	yHMPu5000034929_candida_nanaspora_170307
yHMPu5000034930_nakazawaea_ernobii_170307.haplomerger2	Nakazawaea_ernobii_CBS1737	yHMPu5000034930_nakazawaea_ernobii_170307	yHMPu5000034930_nakazawaea_ernobii_170307.haplomerger2	Nakazawaea_ernobii	Nakazawaea_ernobii	yHMPu5000034930_nakazawaea_ernobii_170307
yHMPu5000034931_kuraishia_piskuri_170307	Kuraishia_piskuri_CBS13714	yHMPu5000034931_kuraishia_piskuri_170307	yHMPu5000034931_kuraishia_piskuri_170307	Kuraishia_piskuri	Kuraishia_piskuri	yHMPu5000034931_kuraishia_piskuri_170307
yHMPu5000034932_kuraishia_ogatae_160519	Kuraishia_ogatae_CBS10924	yHMPu5000034932_kuraishia_ogatae_160519	yHMPu5000034932_kuraishia_ogatae_160519	Kuraishia_ogatae	Kuraishia_ogatae	yHMPu5000034932_kuraishia_ogatae_160519
yHMPu5000034933_kuraishia_molischiana_160519	Kuraishia_molischiana_CBS9993	yHMPu5000034933_kuraishia_molischiana_160519	yHMPu5000034933_kuraishia_molischiana_160519	Kuraishia_molischiana	Kuraishia_molischiana	yHMPu5000034933_kuraishia_molischiana_160519
yHMPu5000034934_kuraishia_hungarica_201018	Kuraishia_hungarica_CBS9254	yHMPu5000034934_kuraishia_hungarica_201018	yHMPu5000034934_kuraishia_hungarica_201018	Kuraishia_hungarica	Kuraishia_hungarica	yHMPu5000034934_kuraishia_hungarica_201018
yHMPu5000034935_kuraishia_floccosa_210210	Kuraishia_floccosa_CBS10307	yHMPu5000034935_kuraishia_floccosa_210210	yHMPu5000034935_kuraishia_floccosa_210210	Kuraishia_floccosa	Kuraishia_floccosa	yHMPu5000034935_kuraishia_floccosa_210210
yHMPu5000034936_kuraishia_cidri_180604	Kuraishia_cidri_CBS4241	yHMPu5000034936_kuraishia_cidri_180604	yHMPu5000034936_kuraishia_cidri_180604	Kuraishia_cidri	Kuraishia_cidri	yHMPu5000034936_kuraishia_cidri_180604
yHMPu5000034937_kuraishia_capsulata_160519	Kuraishia_capsulata_CBS1993	yHMPu5000034937_kuraishia_capsulata_160519	yHMPu5000034937_kuraishia_capsulata_160519	Kuraishia_capsulata	Kuraishia_capsulata	yHMPu5000034937_kuraishia_capsulata_160519
yHMPu5000034938_Komagataella_ulmi_SPAdes	Komagataella_ulmi_CBS12361	yHMPu5000034938_Komagataella_ulmi_SPAdes	yHMPu5000034938_Komagataella_ulmi_SPAdes	Komagataella_ulmi	Komagataella_ulmi	yHMPu5000034938_Komagataella_ulmi_SPAdes
yHMPu5000034939_komagataella_pseudopastoris_160519	Komagataella_pseudopastoris_CBS9187	yHMPu5000034939_komagataella_pseudopastoris_160519	yHMPu5000034939_komagataella_pseudopastoris_160519	Komagataella_pseudopastoris	Komagataella_pseudopastoris	yHMPu5000034939_komagataella_pseudopastoris_160519
yHMPu5000034941_komagataella_phaffii_160519	Komagataella_phaffii_CBS2612	yHMPu5000034941_komagataella_phaffii_160519	yHMPu5000034941_komagataella_phaffii_160519	Komagataella_phaffii_NRRL_Y-7556	Komagataella_phaffii_NRRL_Y-7556	yHMPu5000034941_komagataella_phaffii_160519
yHMPu5000034942_ambrosiozyma_angophorae_160519	Ambrosiozyma_angophorae_CBS5823	yHMPu5000034942_ambrosiozyma_angophorae_160519	yHMPu5000034942_ambrosiozyma_angophorae_160519	Ambrosiozyma_angophorae	Ambrosiozyma_angophorae	yHMPu5000034942_ambrosiozyma_angophorae_160519
yHMPu5000034946_ambrosiozyma_oregonensis_160519	Ambrosiozyma_oregonensis_CBS5560	yHMPu5000034946_ambrosiozyma_oregonensis_160519	yHMPu5000034946_ambrosiozyma_oregonensis_160519	Ambrosiozyma_oregonensis	Ambrosiozyma_oregonensis	yHMPu5000034946_ambrosiozyma_oregonensis_160519
yHMPu5000034947_ambrosiozyma_philentoma_160519	Ambrosiozyma_philentoma_CBS6276	yHMPu5000034947_ambrosiozyma_philentoma_160519	yHMPu5000034947_ambrosiozyma_philentoma_160519	Ambrosiozyma_philentoma	Ambrosiozyma_philentoma	yHMPu5000034947_ambrosiozyma_philentoma_160519
yHMPu5000034948_Ambrosiozyma_platypodis_SPADES	Ambrosiozyma_platypodis_CBS4111	yHMPu5000034948_Ambrosiozyma_platypodis_SPADES	yHMPu5000034948_Ambrosiozyma_platypodis_SPADES	Ambrosiozyma_platypodis_NRRL_Y-6732	Ambrosiozyma_platypodis	yHMPu5000034948_Ambrosiozyma_platypodis_SPADES
